#,대표메뉴,가격,음식점,링크
1,등심카츠,13000,정돈카츠,http://naver.me/FwwRD5xE
2,다니다니샌드,6500,다니상점,http://naver.me/5RrHgBtx
3,다이나믹 어니언 버거,5800,다이나믹키친,http://naver.me/FOswcBG4
4,아메리카노,2500,목로커피,http://naver.me/xxajmGpa
5,간장 반마리,14000,색계찜닭 본점,http://naver.me/5NFD4TEL
6,연어덮밥,9700,우연 희,http://naver.me/xN9SMqTA
7,사골순대국,6000,아리랑순대국감자탕 동문점,http://naver.me/IGAxNrsQ
8,돈가스,6000,지구인클럽 돈가스,http://naver.me/FqVjAbQu
9,아라 떡볶이,3000,조아라떡볶이&닭강정,http://naver.me/5Fk8Woia
10,짜장면,4000,기황후,http://naver.me/FSK0TWvc
